,JD,RV
0,0.0,12.013587574854748
1,1.0,17.195165303891308
2,2.0,36.57075199764958
3,3.0,6.174275498380256
4,4.0,-12.580732951419883
5,5.0,0.43408326823796717
6,6.0,-1.410323036418859
7,7.0,-0.8657034685424652
8,8.0,-2.591230639096534
9,9.0,-9.59428323288262
10,10.0,8.70004420275265
11,11.0,5.337204821797792
12,12.0,21.065728048792717
13,13.0,-11.230381007465272
14,14.0,-16.951859758413605
15,15.0,18.445621925903996
16,16.0,14.36172245625378
17,17.0,22.972531983533372
18,18.0,5.1163476552060505
19,19.0,-0.19914097034213896
20,20.0,-7.903045269462378
21,21.0,-6.397982890302472
22,22.0,-2.2344168264081485
23,23.0,-9.748569202263337
24,24.0,-5.722109168237004
25,25.0,-19.08726633876869
26,26.0,2.2738710743803363
27,27.0,29.99548820996085
28,28.0,-3.3754798961942702
29,29.0,19.990403728919482
30,30.0,1.0975637411944432
31,31.0,16.094210396767174
32,32.0,-3.7726706881177208
33,33.0,-6.071049028627554
34,34.0,-22.377332576860752
35,35.0,-19.467566485496775
36,36.0,13.05163489203676
37,37.0,-25.52808179835822
38,38.0,0.15697395921060275
39,39.0,-8.664062879930881
40,40.0,8.603905942438864
41,41.0,-2.492299407066698
42,42.0,28.748795920580005
43,43.0,3.92405841714286
44,44.0,16.213763012876107
45,45.0,-0.638264459537619
46,46.0,0.444135219561514
47,47.0,4.134068928178575
48,48.0,-15.479952384409355
49,49.0,20.703045969572827
50,50.0,8.473165457752842
51,51.0,0.08571656625028012
52,52.0,15.562847366974605
53,53.0,-2.407382348717732
54,54.0,7.4322615997858055
55,55.0,36.46929976503978
56,56.0,16.90136533855125
57,57.0,3.052469625323803
58,58.0,-8.482436654091316
59,59.0,20.116282018893898
60,60.0,15.753542460442546
61,61.0,9.801700556775387
62,62.0,6.305982121564112
63,63.0,10.117717829683302
64,64.0,15.643133917565837
65,65.0,4.178010540086026
66,66.0,18.703135594751572
67,67.0,-25.07881008735498
68,68.0,10.374593037514936
69,69.0,6.191916246041317
70,70.0,25.458241451245293
71,71.0,11.48843802123013
72,72.0,-6.757400557195988
73,73.0,20.926609721909188
74,74.0,-2.405428382924594
75,75.0,2.754793773924632
76,76.0,-3.727036827741979
77,77.0,8.30369991292508
78,78.0,-3.0110841854195796
79,79.0,27.282134685887854
80,80.0,-1.5617234457186306
81,81.0,-0.5180134147646527
82,82.0,-11.525602772742493
83,83.0,1.399107735877278
84,84.0,-1.378857959556838
85,85.0,-12.114835819256674
86,86.0,-23.352178700952166
87,87.0,2.711338014551564
88,88.0,13.035393351320606
89,89.0,8.702130442145837
90,90.0,11.088893625153014
91,91.0,19.208931896543902
92,92.0,-7.456330902255722
93,93.0,11.140821285348588
94,94.0,8.47182217206196
95,95.0,-15.699986378305615
96,96.0,8.440393241913366
97,97.0,16.077196413553803
98,98.0,-10.918287039357377
99,99.0,17.923030852026187
100,100.0,5.219549567805627
101,101.0,4.677047687432008
102,102.0,12.362646463023978
103,103.0,-0.5573681511253362
104,104.0,-1.506826698636706
105,105.0,44.662969019307226
106,106.0,20.781873831458945
107,107.0,-3.893947725296634
108,108.0,4.21633195158982
109,109.0,20.458907796744683
110,110.0,15.97051251600361
111,111.0,-1.115682287223458
112,112.0,19.758755996307624
113,113.0,12.199258671738034
114,114.0,5.474779921715328
115,115.0,-4.29695605686225
116,116.0,11.021596115423252
117,117.0,15.544434824953415
118,118.0,2.3847461409409236
119,119.0,-0.7386507343954722
120,120.0,38.151367223176536
121,121.0,-2.0010534288712285
122,122.0,-12.703363293156325
123,123.0,20.317195669341604
124,124.0,12.458506171046873
125,125.0,2.6255855183523105
126,126.0,-6.096892928384699
127,127.0,-4.9600874372872354
128,128.0,5.840691025834538
129,129.0,17.07167822358919
130,130.0,14.75453503809336
131,131.0,-6.314242909391712
132,132.0,19.674955197442728
133,133.0,21.842416675417933
134,134.0,19.565547815385617
135,135.0,14.504476677558616
136,136.0,-14.101611835309754
137,137.0,10.540265165526126
138,138.0,66.08982306904868
139,139.0,0.13112068787576447
140,140.0,25.716063209961508
141,141.0,23.906978261363097
142,142.0,-7.000693595797825
143,143.0,-5.302390677652534
144,144.0,18.39112358335016
145,145.0,14.68801911286437
146,146.0,15.482954013763987
147,147.0,21.522144089846847
148,148.0,2.5349604690619896
149,149.0,19.715009095171602
150,150.0,29.039987561173543
151,151.0,2.72256795879973
152,152.0,12.111737342774955
153,153.0,-29.532791244374515
154,154.0,2.747194232096077
155,155.0,23.36780179959925
156,156.0,3.278376603737131
157,157.0,-0.7327063468500832
158,158.0,4.551549678575233
159,159.0,14.427918084916993
160,160.0,-4.037469642892614
161,161.0,-3.1077593120309066
162,162.0,6.4264414958868255
163,163.0,8.037590509881086
164,164.0,12.878517450084209
165,165.0,-16.240277985122386
166,166.0,20.83909180195994
167,167.0,4.194860121160199
168,168.0,12.649975165434679
169,169.0,1.9201886304732252
170,170.0,21.45440517693136
171,171.0,19.872352758842457
172,172.0,1.7401035272374417
173,173.0,13.89613330973526
174,174.0,-19.51706739440744
175,175.0,29.382825593316532
176,176.0,10.835344914503413
177,177.0,-3.354848805854898
178,178.0,7.330110340171834
179,179.0,-3.817544361297029
180,180.0,7.869311009669529
181,181.0,-2.0685992378748956
182,182.0,0.2401045119576306
