pl_hostname,pl_letter,pl_status,pl_rvamp,pl_orbper,pl_orbeccen,pl_orblper,pl_pnum,,,,,,
HD 5891,b,3,178.5,177.11,0.07,,1,,,,,,
HD 159868,b,3,37.92,1184.1,0.024,63,2,,,,,,
HD 160691,b,3,37.78,643.25,0.128,22,4,,,,,,
HD 162020,b,3,1813,8.4282,0.28,,1,,,,,,
HD 163607,b,3,52.34,75.2203,0.7441,79.6,2,,,,,,
HD 164509,b,3,13.15,280.17,0.238,326,1,,,,,,
HD 164922,b,3,7.3,1155,0.05,,2,,,,,,
HD 164604,b,3,60.66,641.472,0.35,65.4,1,,,,,,
HD 166724,b,3,71,5144,0.734,202.3,1,,,,,,
HD 167042,b,3,32.16,420.77,0.089,85.7,1,,,,,,
HD 168443,b,3,475.133,58.11247,0.52883,172.923,2,,,,,,
HD 168746,b,3,28.6,6.404,0.11,,1,,,,,,
Kepler-62,b,3,,5.714932,,,5,,,,,,
Kepler-63,b,3,,9.4341505,0.45,,1,,,,,,
PH1,b,3,,138.317,0.0702,341.88,1,,,,,,
Kepler-65,b,3,,2.15491,,,4,,,,,,
Kepler-68,b,3,2.7,5.3988,0,0,3,,,,,,
Kepler-131,b,3,3.95,16.092,,,2,,,,,,
HD 6434,b,3,34.2,21.998,0.17,,1,,,,,,
HD 6718,b,3,24.1,2496,0.1,,1,,,,,,
HD 7199,b,3,7.8,615,0.19,,1,,,,,,
HD 7449,b,3,21.9,1255.5,0.92,69.9,1,,,,,,
HD 7924,b,3,3.6,5.39792,0.06,,3,,,,,,
HD 8535,b,3,11.8,1313,0.15,61,1,,,,,,
HD 8574,b,3,58.3,227,0.3,,1,,,,,,
HD 8673,b,3,288,1634,0.723,323.4,1,,,,,,
HD 9446,b,3,46.6,30.052,0.2,215,2,,,,,,
HD 169830,b,3,80.7,225.62,0.31,148,2,,,,,,
HD 170469,b,3,12,1145,0.11,,1,,,,,,
HD 171028,b,3,60.6,550,0.59,,1,,,,,,
HD 171238,b,3,50.7,1532,0.234,97,1,,,,,,
HD 173416,b,3,51.8,323.6,0.21,254,1,,,,,,
HD 175167,b,3,161,1290,0.54,,1,,,,,,
HD 175541,b,3,14.68,298.43,0.11,129,1,,,,,,
HD 177830,b,3,32.6,410.10001,0.1,,2,,,,,,
HD 178911 B,b,3,343.3,71.484,0.11,,1,,,,,,
HD 179079,b,3,6.22,14.479,0.049,308,1,,,,,,
HD 179949,b,3,112.6,3.092514,0.022,192,1,,,,,,
HD 180314,b,3,340.8,396.03,0.26,,1,,,,,,
HD 180902,b,3,34.25,510.9,0.107,181,1,,,,,,
HD 181342,b,3,44.1,564.1,0.022,290,1,,,,,,
HD 181433,b,3,2.9,9.3743,0.4,,3,,,,,,
Kepler-74,b,3,59,7.340711,0,,1,,,,,,
HD 10442,b,3,29.9,1032.3,0.132,262,1,,,,,,
HD 10647,b,3,18.1,989.2,0.15,212,1,,,,,,
HD 10697,b,3,116.9,1075.69,0.1043,114.9,1,,,,,,
HD 11506,b,3,78.17,1622.1,0.3743,220.16,2,,,,,,
HD 11977,b,3,105,711,0.4,351.5,1,,,,,,
HD 11964,b,3,9.41,1945,0.041,,2,,,,,,
HD 12661,b,3,73.6,262.70862,0.38,,2,,,,,,
HD 13189,b,3,173.3,471.60001,0.27,,1,,,,,,
HD 13908,b,3,55.3,19.382,0.02,185,2,,,,,,
HD 13931,b,3,23.3,4218,0.02,,1,,,,,,
HD 14067,b,3,92.2,1455,0.533,109.9,1,,,,,,
HD 16141,b,3,12,75.523,0.25,,1,,,,,,
HD 16417,b,3,5,17.24,0.2,77,1,,,,,,
HD 181720,b,3,8.4,956,0.26,,1,,,,,,
HD 183263,b,3,84,626.51599,0.36,,2,,,,,,
HD 212301,b,3,59.5,2.24571,0,,1,,,,,,
HD 213240,b,3,96.6,882.70001,0.42,,1,,,,,,
HD 215497,b,3,3,3.93404,0.16,,2,,,,,,
HD 216435,b,3,19.6,1311,0.07,100,1,,,,,,
HD 216437,b,3,39.08,1334.28,0.317,65.092,1,,,,,,
HD 216536,b,3,50,148.60001,0.38,,1,,,,,,
HD 216770,b,3,30.9,118.45,0.37,,1,,,,,,
HD 217107,b,3,139.2,7.12682,0.13,,2,,,,,,
HD 217786,b,3,261,1319,0.4,100,1,,,,,,
HD 218566,b,3,8.3,225.7,0.3,,1,,,,,,
HD 219077,b,3,181.4,5501,0.77,57.61,1,,,,,,
Kepler-78,b,3,2,0.35500744,,,1,,,,,,
Kepler-113,b,3,5.4,4.754,,,2,,,,,,
4 UMa,b,3,215.55,269.3,0.432,23.81,1,,,,,,
