pl_hostname,pl_letter,pl_status,pl_rvamp,pl_orbper,pl_orbeccen,pl_orblper,pl_pnum,,,,,,
HAT-P-15,b,3,180.6,10.8635,0.19,,1,,,,,,
HD 103197,b,3,5.9,47.84,0,,1,,,,,,
HD 103720,b,3,89,4.5557,0.086,262,1,,,,,,
HD 103774,b,3,34.3,5.8881,0.09,-42,1,,,,,,
HD 104067,b,3,11.6,55.806,0,,1,,,,,,
HD 104985,b,3,166.8,199.505,0.09,203.5,1,,,,,,
HD 106252,b,3,138.8,1531,0.48,,1,,,,,,
HD 106270,b,3,135.4,1888,0.185,3.3,1,,,,,,
HD 106515 A,b,3,158.2,3630,0.572,123.8,1,,,,,,
HD 107148,b,3,10.9,48.056,0.05,75,1,,,,,,
HD 108147,b,3,25.1,10.8985,0.53,308,1,,,,,,
HD 108341,b,3,144,1129,0.85,190,1,,,,,,
HD 108863,b,3,47.4,437.7,0.032,191,1,,,,,,
HD 108874,b,3,37.3,394.48123,0.13,,2,,,,,,
HD 109246,b,3,38.2,68.27,0.12,,1,,,,,,
HD 109271,b,3,5.6,7.8543,0.25,-64,2,,,,,,
Kepler-5,b,3,227.5,3.5484657,,,1,,,,,,
Kepler-6,b,3,80.9,3.2346996,,,1,,,,,,
Kepler-7,b,3,42.9,4.8854892,,,1,,,,,,
Kepler-8,b,3,68.4,3.5224991,,,1,,,,,,
Kepler-9,b,3,,19.23891,0.0609,357,3,,,,,,
Kepler-10,b,3,3.3,0.837491,,,2,,,,,,
Kepler-11,b,3,,10.3039,0.045,,6,,,,,,
Kepler-12,b,3,48.2,4.4379629,,,1,,,,,,
KOI-13,b,3,,1.763588,0.00064,5,1,,,,,,
HAT-P-16,b,3,531.1,2.77596,0.036,214,1,,,,,,
HAT-P-17,b,3,58.4,10.33852,0.35,,2,,,,,,
HAT-P-18,b,3,27.1,5.508023,0.084,120,1,,,,,,
BD+48 738,b,3,31.9,392.6,0.2,358.9,1,,,,,,
BD+49 828,b,3,18.8,2590,0.35,170,1,,,,,,
CoRoT-1,b,3,188,1.5089557,0,,1,,,,,,
CoRoT-2,b,3,603,1.7429935,0.0143,102,1,,,,,,
CoRoT-3,b,3,,4.2568,0,,1,,,,,,
CoRoT-4,b,3,63,9.20205,0,,1,,,,,,
CoRoT-5,b,3,59.1,4.0378962,0.09,-128.34,1,,,,,,
CoRoT-6,b,3,280,8.886593,0.1,,1,,,,,,
CoRoT-7,b,3,3.1,0.85359163,0,,2,,,,,,
CoRoT-8,b,3,26,6.21229,0,,1,,,,,,
HD 109749,b,3,29.2,5.239891,0,109.8,1,,,,,,
HD 110014,b,3,158.2,835.477,0.462,290.6,1,,,,,,
HD 111232,b,3,159.3,1143,0.2,,1,,,,,,
HD 113337,b,3,75.6,324,0.46,-140.8,1,,,,,,
HD 113538,b,3,12.2,663.2,0.14,74,2,,,,,,
HD 114386,b,3,34.3,937.70001,0.23,,1,,,,,,
HD 114613,b,3,4.38,4000,0.458,196,1,,,,,,
HD 114762,b,3,612.5,83.9151,0.34,,1,,,,,,
HD 114783,b,3,31.9,493.7,0.144,86,2,,,,,,
HD 114729,b,3,16.91,1121.79,0.079,77.059,1,,,,,,
HD 116029,b,3,36.6,670,0,,2,,,,,,
HD 117207,b,3,27.78,2621.75,0.157,90.217,1,,,,,,
HD 117618,b,3,10.9,25.8,0.15,289,1,,,,,,
HD 118203,b,3,217,6.1335,0.31,,1,,,,,,
HD 120084,b,3,53,2082,0.66,117,1,,,,,,
Kepler-14,b,3,682.9,6.790123,0.035,,1,,,,,,
Kepler-15,b,3,78.7,4.942782,0.06,,1,,,,,,
Kepler-16,b,3,,228.776,0.0069,318,1,,,,,,
Kepler-17,b,3,419.5,1.4857108,0.011,,1,,,,,,
Kepler-34,b,3,,288.822,0.182,,1,,,,,,
Kepler-35,b,3,,131.458,0.042,,1,,,,,,
Kepler-37,b,3,0.9,13.36731,0,,4,,,,,,
Kepler-39,b,3,1257,21.08721,0.112,99,1,,,,,,
CoRoT-9,b,3,39,95.272656,0.133,41,1,,,,,,
CoRoT-10,b,3,301,13.2406,0.53,218.9,1,,,,,,
CoRoT-11,b,3,280,2.99433,0,,1,,,,,,
CoRoT-12,b,3,125.5,2.828042,0.07,105,1,,,,,,
CoRoT-13,b,3,157.8,4.03519,0,,1,,,,,,
CoRoT-14,b,3,1230,1.51214,0,,1,,,,,,
CoRoT-16,b,3,61.96,5.35227,0.33,168.41,1,,,,,,
CoRoT-17,b,3,312.4,3.7681,0,0,1,,,,,,
CoRoT-18,b,3,590,1.9000693,0.08,,1,,,,,,
CoRoT-19,b,3,126,3.89713,0.047,,1,,,,,,
CoRoT-20,b,3,467,9.24285,0.59,60.1,2,,,,,,
CoRoT-22,b,3,3.7,9.75598,0.077,210,1,,,,,,
CoRoT-23,b,3,377,3.6313,0.16,52,1,,,,,,
CoRoT-24,b,3,2.1,5.1134,0,,2,,,,,,
HD 121504,b,3,55.8,63.33,0.03,,1,,,,,,
HD 125612,b,3,80.46,557.04,0.4553,42,3,,,,,,
HD 125595,b,3,4.8,9.6737,0,,1,,,,,,
HD 126614,b,3,7.3,1244,0.41,,1,,,,,,
HD 128311,b,3,55.627,453.019,0.303,57.864,2,,,,,,
HD 129445,b,3,38,1840,0.7,163,1,,,,,,
HD 130322,b,3,112.5,10.70871,0.029,193,1,,,,,,
HD 131496,b,3,31.6,896,0.181,58,1,,,,,,
HD 132406,b,3,115,974,0.34,,1,,,,,,
HD 132563,b,3,26.7,1544,0.22,158,1,,,,,,
HD 131664,b,3,359.5,1951,0.64,,1,,,,,,
HD 134987,b,3,49.5,258.17999,0.23,,2,,,,,,
HD 136418,b,3,44.7,464.29999,0.25,,1,,,,,,
K2-25,b,3,,3.484552,0.27,62,1,,,,,,
HD 32963,b,3,11.1,2372,0.07,107,1,,,,,,
TYC 3667-1280-1,b,3,242.4,26.468,0.036,240,1,,,,,,
HATS-13,b,3,78,3.0440499,0.181,,1,,,,,,
WASP-76,b,3,119.3,1.809886,0,,1,,,,,,
WASP-90,b,3,60,3.916243,0,,1,,,,,,
K2-19,b,3,,7.9194,,,3,,,,,,
K2-18,b,3,3.55,32.939623,0.2,-5.7,2,,,,,,
WASP-135,b,3,346,1.4013794,0,,1,,,,,,
Kepler-454,b,3,2,10.57,0,,2,,,,,,
HATS-14,b,3,158,2.7667641,0.142,,1,,,,,,
HD 95872,b,3,59,4375,0.06,,1,,,,,,
psi 1 Dra B,b,3,21,3117,0.4,64,1,,,,,,
HD 5583,b,3,225.8,139.35,0.076,12,1,,,,,,
BD+15 2375,b,3,38.3,153.22,0.001,55,1,,,,,,
KELT-10,b,3,80,4.1662739,,,1,,,,,,
HD 33844,b,3,33.5,551.40002,0.15,,2,,,,,,
Kepler-539,b,3,132.3,125.63243,0.39,,2,,,,,,
Kepler-538,b,3,1.69,81.73778,0.041,140,1,,,,,,
HIP 8541,b,3,87.4,1560.2,0.16,293.9,1,,,,,,
HIP 74890,b,3,36.5,822.3,0.07,181.9,1,,,,,,
KELT-8,b,3,104,3.24406,0.04,,1,,,,,,
HD 11755,b,3,191.3,433.70001,0.19,,1,,,,,,
HD 12648,b,3,102,133.60001,0.04,,1,,,,,,
HD 24064,b,3,251,535.59998,0.35,,1,,,,,,
8 UMi,b,3,46.1,93.4,0.06,,1,,,,,,
HD 155233,b,3,40.5,818.8,0.04,120,1,,,,,,
HD 175607,b,3,2.37,29.01,0.11,142,1,,,,,,
61 Vir,b,3,2.12,4.215,0.12,105,3,,,,,,
70 Vir,b,3,316.2,116.688,0.3988,359.83,1,,,,,,
75 Cet,b,3,38.3,691.9,0.117,165,1,,,,,,
81 Cet,b,3,62.8,952.7,0.206,175,1,,,,,,
91 Aqr,b,3,91.5,181.4,0.027,177.3,1,,,,,,
alf Ari,b,3,41.1,380.8,0.25,89.16,1,,,,,,
bet Cnc,b,3,133,605.2,0.08,58.9,1,,,,,,
bet UMi,b,3,126.1,522.3,0.19,307.4,1,,,,,,
eps Eri,b,3,18.5,2502,0.702,47,1,,,,,,
eps CrB,b,3,129.4,417.9,0.11,133.1,1,,,,,,
eps Tau,b,3,95.9,594.9,0.151,94.4,1,,,,,,
gam 1 Leo,b,3,208.3,428.5,0.144,206.7,1,,,,,,
gam Cep,b,3,31.1,903.3,0.049,94.6,1,,,,,,
kap CrB,b,3,26.18,1285,0.167,194,1,,,,,,
mu Leo,b,3,52,357.8,0.09,227.1,1,,,,,,
nu Oph,b,3,288.26,530.21,0.124,9.93,2,,,,,,
ome Ser,b,3,31.8,277.02,0.106,132,1,,,,,,
omi CrB,b,3,32.25,187.83,0.191,79,1,,,,,,
omi UMa,b,3,33.6,1630,0.13,58,1,,,,,,
tau Boo,b,3,471.73,3.3124568,0.011,113.4,1,,,,,,
tau Gem,b,3,350.2,305.5,0.031,137.4,1,,,,,,
ups And,b,3,70.51,4.617033,0.0215,324.9,3,,,,,,
xi Aql,b,3,65.4,136.75,0,0,1,,,,,,
2MASS J21402931+1625183 A,b,3,,7336.5,0.26,223,1,,,,,,
BD-17 63,b,3,173.3,655.6,0.54,112.2,1,,,,,,
Wolf 1061,b,3,1.67,4.8869,0.15,,3,,,,,,
HATS-17,b,3,99.1,16.254611,0.029,,1,,,,,,
K2-34,b,3,,2.995633,,,1,,,,,,
BD-13 2130,b,3,137.6,714.29999,0.21,,1,,,,,,
BD-11 4672,b,3,13.4,1667,0.05,231,1,,,,,,
BD-10 3166,b,3,60.9,3.48777,0.02,,1,,,,,,
BD-08 2823,b,3,6.5,5.6,0.15,,2,,,,,,
BD-06 1339,b,3,4.4,3.8728,0,0,2,,,,,,
BD+14 4559,b,3,55.2,268.94,0.29,,1,,,,,,
BD+15 2940,b,3,42.7,137.48,0.26,302,1,,,,,,
BD+20 274,b,3,121.4,578.2,0.21,108.5,1,,,,,,
BD+20 2457,b,3,322.4,379.63,0.15,,2,,,,,,
HD 164595,b,3,3.05,40,0.088,145,1,,,,,,
HAT-P-57,b,3,215.2,2.4653,0,,1,,,,,,
HAT-P-50,b,3,161.3,3.1220109,0.115,,1,,,,,,
HAT-P-51,b,3,39.5,4.2180278,0.123,,1,,,,,,
HAT-P-52,b,3,128.4,2.7535953,0.047,,1,,,,,,
HAT-P-53,b,3,226.8,1.9616241,0.134,,1,,,,,,
WASP-3,b,3,290.5,1.84683,0,,1,,,,,,
WASP-4,b,3,241.1,1.33823147,0,,1,,,,,,
WASP-5,b,3,279.7,1.6284279,0.038,34.38,1,,,,,,
WASP-6,b,3,74.3,3.36101,0.05,,1,,,,,,
WASP-7,b,3,97,4.9546416,,,1,,,,,,
WASP-8,b,3,222.2,8.15872,0.31,,2,,,,,,
WASP-10,b,3,533.1,3.0927616,,,1,,,,,,
WASP-11,b,3,82.1,3.72247,0,,1,,,,,,
WASP-12,b,3,226.4,1.09142,,,1,,,,,,
WASP-13,b,3,55.5,4.35301,0,,1,,,,,,
WASP-14,b,3,993,2.24375,0.09,,1,,,,,,
WASP-15,b,3,63.4,3.7521,0,,1,,,,,,
WASP-16,b,3,116.7,3.1186,0,,1,,,,,,
WASP-17,b,3,59.2,3.73543,0,,1,,,,,,
WASP-18,b,3,1816.6,0.9414526,0.0091,269,1,,,,,,
WASP-19,b,3,,0.78883899,0.002,259,1,,,,,,
WASP-20,b,3,32.8,4.8996284,0,,1,,,,,,
WASP-21,b,3,37.2,4.322482,0,,1,,,,,,
WASP-22,b,3,70,3.53269,0.02,,1,,,,,,
WASP-23,b,3,,2.9444256,0.062,,1,,,,,,
WASP-24,b,3,148.2,2.34121,0,,1,,,,,,
WASP-25,b,3,75.5,3.76483,0,,1,,,,,,
WASP-26,b,3,135.5,2.7566,0,,1,,,,,,
WASP-28,b,3,120.5,3.40883,0,,1,,,,,,
WASP-29,b,3,35.6,3.92273,0.03,,1,,,,,,
WASP-31,b,3,,3.4059096,0,,1,,,,,,
WASP-32,b,3,478,2.71866,0,,1,,,,,,
WASP-33,b,3,304,1.21987,,,1,,,,,,
WASP-34,b,3,72.1,4.31768,0.04,,1,,,,,,
WASP-35,b,3,94.8,3.16158,0,,1,,,,,,
WASP-36,b,3,391.5,1.53736596,,,1,,,,,,
WASP-37,b,3,,3.577469,0,,1,,,,,,
HD 219134,b,3,2.381,3.092926,0,0,6,,,,,,
GJ 1132,b,3,2.85,1.628931,0.22,,2,,,,,,
WASP-38,b,3,252,6.87188,0.03,,1,,,,,,
WASP-39,b,3,,4.055259,0,,1,,,,,,
WASP-41,b,3,138,3.0524,0,,2,,,,,,
WASP-42,b,3,64.8,4.9816819,,,1,,,,,,
WASP-43,b,3,,0.813475,0,,1,,,,,,
WASP-44,b,3,138,2.423804,,,1,,,,,,
WASP-45,b,3,149,3.126089,,,1,,,,,,
WASP-46,b,3,,1.43036763,,,1,,,,,,
WASP-47,b,3,140.64,4.1591289,,,4,,,,,,
WASP-48,b,3,136,2.14363,0,,1,,,,,,
WASP-49,b,3,56.8,2.78174,0,,1,,,,,,
WASP-50,b,3,256.6,1.9551,,,1,,,,,,
WASP-52,b,3,,1.7497798,0,,1,,,,,,
WASP-54,b,3,73,3.69364,0.07,,1,,,,,,
WASP-55,b,3,70,4.46563,0,,1,,,,,,
WASP-56,b,3,69,4.6171,0,,1,,,,,,
WASP-57,b,3,,2.83891856,,,1,,,,,,
K2-24,b,3,,20.88977,0.06,,2,,,,,,
WASP-58,b,3,110.1,5.01718,0,,1,,,,,,
WASP-59,b,3,,7.919585,0.1,74,1,,,,,,
WASP-60,b,3,60.8,4.305,0,,1,,,,,,
WASP-61,b,3,233,3.8559,0,,1,,,,,,
WASP-62,b,3,60,4.41195,0,,1,,,,,,
WASP-63,b,3,39,4.37808,0,,1,,,,,,
WASP-64,b,3,221,1.5732918,0,,1,,,,,,
WASP-65,b,3,249,2.3114243,0,,1,,,,,,
WASP-66,b,3,246,4.08605,0,,1,,,,,,
WASP-67,b,3,56,4.61442,0,,1,,,,,,
WASP-68,b,3,97.9,5.0843,0,,1,,,,,,
WASP-69,b,3,38.1,3.86814,0,,1,,,,,,
WASP-70 A,b,3,72.3,3.7130203,0,,1,,,,,,
WASP-71,b,3,236.4,2.90367,0,,1,,,,,,
WASP-72,b,3,181.3,2.21673,0,,1,,,,,,
WASP-73,b,3,196.3,4.08722,0,,1,,,,,,
WASP-75,b,3,146,2.484193,0,,1,,,,,,
WASP-77 A,b,3,321.9,1.36003,0,,1,,,,,,
WASP-78,b,3,113.8,2.17518,0,,1,,,,,,
WASP-79,b,3,88.2,3.66238,0,,1,,,,,,
WASP-80,b,3,109,3.06785234,0.002,94,1,,,,,,
WASP-82,b,3,130.7,2.70579,0,,1,,,,,,
WASP-84,b,3,77.4,8.5234865,0,,1,,,,,,
WASP-88,b,3,52.4,4.954,0,,1,,,,,,
WASP-94 A,b,3,45.4,3.95019,0,,1,,,,,,
WASP-94 B,b,3,86.48,2.00839,0,,1,,,,,,
WASP-95,b,3,175.7,2.18467,0,,1,,,,,,
WASP-96,b,3,62,3.4252602,0,,1,,,,,,
WASP-97,b,3,194.5,2.07276,0,,1,,,,,,
WASP-98,b,3,,2.96264036,,,1,,,,,,
WASP-99,b,3,242.2,5.75251,0,,1,,,,,,
WASP-100,b,3,213,2.84938,0,,1,,,,,,
WASP-101,b,3,54,3.58572,0,,1,,,,,,
WASP-103,b,3,271,0.925542,,,1,,,,,,
WASP-104,b,3,202.7,1.7554137,0,,1,,,,,,
WASP-106,b,3,165.3,9.28971,0,,1,,,,,,
WASP-117,b,3,25.2,10.02165,0.3,,1,,,,,,
WTS-1,b,3,,3.352057,0.1,,1,,,,,,
WTS-2,b,3,256,1.0187068,0,,1,,,,,,
XO-1,b,3,116,3.94153,0,,1,,,,,,
XO-2 N,b,3,,2.61586178,,,1,,,,,,
XO-2 S,b,3,20.6,18.157,0.18,,2,,,,,,
XO-3,b,3,1488,3.19154,0.29,,1,,,,,,
XO-4,b,3,168.6,4.12508,0,,1,,,,,,
XO-5,b,3,146,4.1877558,0,,1,,,,,,
HATS-9,b,3,,1.915291,,,1,,,,,,
HATS-10,b,3,67,3.312846,0.501,,1,,,,,,
Kepler-406,b,3,2.89,2.42629,,,2,,,,,,
Kepler-407,b,3,,0.66931,,,2,,,,,,
Kepler-408,b,3,,2.46502,,,1,,,,,,
Kepler-409,b,3,,68.9584,,,1,,,,,,
Kepler-411,b,3,,3.005156,0.146,41.5,4,,,,,,
Kepler-412,b,3,142,1.7208604,,,1,,,,,,
Kepler-413,b,3,,66.262,0.1181,94.6,1,,,,,,
Kepler-418,b,3,50,86.67856,0.2,4.35,1,,,,,,
Kepler-419,b,3,,69.7546,0.833,95.2,2,,,,,,
KOI-1257,b,3,,86.647661,0.772,141.3,1,,,,,,
Kepler-422,b,3,40,7.8914483,,,1,,,,,,
Kepler-423,b,3,96.7,2.6843285,0.019,120.26,1,,,,,,
Kepler-424,b,3,140,3.3118644,,,2,,,,,,
Kepler-425,b,3,34,3.79701816,0.33,,1,,,,,,
Kepler-426,b,3,50,3.21751883,0.18,,1,,,,,,
Kepler-427,b,3,29.8,10.290994,0.57,,1,,,,,,
Kepler-428,b,3,188,3.52563254,0.22,,1,,,,,,
alf Tau,b,3,142.1,628.96,0.1,287,1,,,,,,
HATS-8,b,3,17.7,3.583893,0.376,,1,,,,,,
K2-30,b,3,78.7,4.098503,0,,1,,,,,,
Kepler-432,b,3,286.8,52.501129,0.5134,64.1,2,,,,,,
Kepler-433,b,3,259,5.33408384,0.119,68,1,,,,,,
Kepler-434,b,3,221,12.8747099,0.131,82,1,,,,,,
Kepler-435,b,3,64,8.6001536,0.114,104,1,,,,,,
HAT-P-55,b,3,76.7,3.5852467,0.139,,1,,,,,,
HAT-P-56,b,3,262,2.79083,,,1,,,,,,
Kepler-445,b,3,7,2.984151,0,,3,,,,,,
Kepler-446,b,3,7,1.565409,0,,3,,,,,,
Kepler-447,b,3,141,7.79430132,0.123,98.3,1,,,,,,
KOI-12,b,3,800,17.85523,0.72,,1,,,,,,
Lupus-TR-3,b,3,,3.91405,0,,1,,,,,,
NGC 2682 YBP 1194,b,3,35.8,6.959,0.3,99.36,1,,,,,,
NGC 2682 YBP 1514,b,3,50.06,5.118,0.28,327.33,1,,,,,,
NGC 2682 Sand 364,b,3,67.4,121.71,0.35,,1,,,,,,
OGLE2-TR-L9,b,3,,2.4855335,,,1,,,,,,
HD 143105,b,3,144,2.1974,0.07,,1,,,,,,
HIP 109600,b,3,98.6,232.08,0.163,-131.3,1,,,,,,
HD 35759,b,3,173.9,82.467,0.389,-104,1,,,,,,
HIP 109384,b,3,56.53,499.48,0.549,104.49,1,,,,,,
HIP 65891,b,3,64.9,1084.5,0.13,355.5,1,,,,,,
HIP 107773,b,3,42.7,144.3,0.09,166,1,,,,,,
KELT-7,b,3,138,2.73477,0,,1,,,,,,
OGLE-TR-10,b,3,,3.101278,,,1,,,,,,
OGLE-TR-056,b,3,225,1.2119189,,,1,,,,,,
OGLE-TR-111,b,3,,4.0144463,,,1,,,,,,
OGLE-TR-113,b,3,,1.4324752,,,1,,,,,,
OGLE-TR-132,b,3,167,1.689868,,,1,,,,,,
OGLE-TR-182,b,3,,3.9791,0,,1,,,,,,
OGLE-TR-211,b,3,,3.67724,0,,1,,,,,,
POTS-1,b,3,407,3.1606296,,,1,,,,,,
Pr0201,b,3,58.1,4.4264,0,,1,,,,,,
HD 220842,b,3,108.1,218.47,0.404,-134.9,1,,,,,,
HD 12484,b,3,155,58.83,0.07,-35,1,,,,,,
HIP 65407,b,3,30.5,28.125,0.14,50,2,,,,,,
HD 141399,b,3,19.23,94.44,0.04,-90,4,,,,,,
KELT-4 A,b,3,111.8,2.9895932,0,,1,,,,,,
K2-31,b,3,350.9,1.25785,0,,1,,,,,,
K2-32,b,3,,8.991828,,,4,,,,,,
WASP-119,b,3,181,2.49979,0.058,,1,,,,,,
WASP-124,b,3,77,3.37265,0.017,,1,,,,,,
WASP-126,b,3,36,3.2888,0.18,,1,,,,,,
WASP-129,b,3,110,5.748145,0.096,,1,,,,,,
WASP-133,b,3,170,2.176423,0.17,,1,,,,,,
Kepler-453,b,3,,240.503,0.0359,185.1,1,,,,,,
WASP-74,b,3,114.1,2.13775,0,,1,,,,,,
WASP-83,b,3,32.9,4.971252,0,,1,,,,,,
WASP-89,b,3,848,3.3564227,0.193,28,1,,,,,,
Pr0211,b,3,309.7,2.1461,0.011,17,2,,,,,,
Qatar-1,b,3,261.6,1.4200242,0,,1,,,,,,
Qatar-2,b,3,558.7,1.33711647,0,,1,,,,,,
SWEEPS-4,b,3,,4.2,,,1,,,,,,
SWEEPS-11,b,3,,1.796,,,1,,,,,,
TrES-1,b,3,115.2,3.03007,0,,1,,,,,,
TrES-3,b,3,,1.30618581,0,,1,,,,,,
TrES-4,b,3,97.4,3.55395,0,,1,,,,,,
TrES-5,b,3,339.8,1.48224686,,,1,,,,,,
TYC 1422-614-1,b,3,82,198.4,0.06,50,2,,,,,,
WASP-1,b,3,110.9,2.5199454,0,,1,,,,,,
WASP-2,b,3,157,2.152175,,,1,,,,,,
Kepler-643,b,3,,16.33889626,,,1,,,,,,
HD 13167,b,3,48.2,2613,0.563,265,1,,,,,,
HD 14787,b,3,20.7,676.6,0.155,343,1,,,,,,
HD 18015,b,3,38,2278,0.148,265,1,,,,,,
HD 72490,b,3,33.5,858,0.124,145,1,,,,,,
HD 94834,b,3,20.7,1576,0.14,38,1,,,,,,
HD 180053,b,3,51.5,213.72,0.081,76,1,,,,,,
HD 4917,b,3,37.1,400.5,0.066,313,1,,,,,,
KOI-3680,b,3,87.7,141.241671,0.496,154.7,1,,,,,,
WASP-91,b,3,217,2.798581,0,,1,,,,,,
WASP-105,b,3,194,7.87288,0,,1,,,,,,
WASP-107,b,3,17,5.72149,0,,1,,,,,,
GJ 3779,b,3,8.61,3.0232,0.07,225,1,,,,,,
GJ 1265,b,3,9.89,3.6511,0.04,282,1,,,,,,
K2-132,b,3,42.1,9.1751,,,1,,,,,,
WASP-151,b,3,37,4.533471,0.003,-50,1,,,,,,
WASP-153,b,3,44,3.332609,0.009,,1,,,,,,
WASP-156,b,3,19,3.836169,0.007,,1,,,,,,
HD 40956,b,3,68,578.6,0.24,338.62,1,,,,,,
IC 4651 9122,b,3,89.5,734,0.18,118.5,1,,,,,,
HD 26965,b,3,1.81,42.378,0.04,148.969,1,,,,,,
Kepler-1656,b,3,17.6,31.578659,0.836,53.9,1,,,,,,
HD 191806,b,3,140.5,1606.3,0.259,4,1,,,,,,
HD 214823,b,3,285.47,1854.4,0.1641,124,1,,,,,,
HD 221585,b,3,27.9,1173,0.123,-6.8,1,,,,,,
HD 111591,b,3,59,1056.4,0.26,78.72,1,,,,,,
HD 113996,b,3,120,610.2,0.28,92.06,1,,,,,,
WASP-161,b,3,230,5.4060425,,,1,,,,,,
WASP-163,b,3,329,1.6096884,,,1,,,,,,
WASP-170,b,3,255,2.34478022,,,1,,,,,,
K2-285,b,3,4.62,3.471745,0,,4,,,,,,
HD 219666,b,3,6.17,6.03607,0,,1,,,,,,
HD 1397,b,3,32,11.53533,0.251,2.1,1,,,,,,
GJ 411,b,3,1.59,12.9532,0.22,,1,,,,,,
Gl 378,b,3,7.96,3.822,0.109,210.6,1,,,,,,
Qatar-7,b,3,239,2.032046,0,,1,,,,,,
K2-39,b,3,14.4,4.60543,0,,1,,,,,,
WASP-120,b,3,509,3.6112706,0.057,-27,1,,,,,,
WASP-123,b,3,114.2,2.9776412,0,,1,,,,,,
HATS-25,b,3,76.8,4.2986432,0.176,,1,,,,,,
HATS-26,b,3,73.3,3.3023881,0.245,,1,,,,,,
HATS-27,b,3,51,4.637038,0.581,,1,,,,,,
HATS-28,b,3,97,3.1810781,0.202,,1,,,,,,
HATS-29,b,3,78.4,4.6058749,0.158,,1,,,,,,
HATS-30,b,3,91.8,3.1743516,0.096,,1,,,,,,
WASP-121,b,3,,1.2749255,0,,1,,,,,,
V830 Tau,b,3,68,4.927,,,1,,,,,,
HATS-15,b,3,399,1.74748753,0.126,,1,,,,,,
HATS-16,b,3,485,2.686502,0,,1,,,,,,
WASP-157,b,3,,3.951623,,,1,,,,,,
NGTS-6,b,3,322,0.882059,0,,1,,,,,,
K2-36,b,3,2.6,1.422614,0,,2,,,,,,
K2-38,b,3,4.6,4.01593,,,2,,,,,,
GJ 3998,b,3,1.82,2.64977,0,,2,,,,,,
BD+20 594,b,3,3.1,41.6855,0,,1,,,,,,
Proxima Cen,b,3,1.38,11.186,0.35,310,1,,,,,,
HATS-11,b,3,,3.619188,,,1,,,,,,
HATS-12,b,3,,3.142702,,,1,,,,,,
K2-107,b,3,,3.313959,,,1,,,,,,
WASP-53,b,3,326.1,3.3098443,0.03,,2,,,,,,
WASP-81,b,3,100.8,2.7164762,0.066,,1,,,,,,
HD 202772 A,b,3,96.4,3.308958,0.038,98,1,,,,,,
HD 126525,b,3,5.26,960.41,0.035,247.506,1,,,,,,
WASP-180 A,b,3,100,3.409264,0,,1,,,,,,
NGTS-5,b,3,41,3.3569866,0,,1,,,,,,
HD 210193,b,3,11.4,649.918,0.24,168.84,1,,,,,,
HD 211970,b,3,4.02,25.201,0.15,97.83,1,,,,,,
HD 39855,b,3,4.08,3.2498,0.14,102.97,1,,,,,,
HIP 35173,b,3,2.8,41.516,0.16,10.73,1,,,,,,
HD 102843,b,3,5.24,3090.942,0.11,108.69,1,,,,,,
HD 103949,b,3,1.77,120.878,0.19,127.74,1,,,,,,
HD 206255,b,3,3.92,96.045,0.23,86.92,1,,,,,,
HD 21411,b,3,11.477,84.288,0.4,332.42,1,,,,,,
HD 64114,b,3,3.33,45.791,0.12,215.3,1,,,,,,
HD 8326,b,3,9.36,158.991,0.2,-44.79,1,,,,,,
HIP 54373,b,3,4.19,7.76,0.2,72.34,2,,,,,,
K2-97,b,3,,8.406726,,,1,,,,,,
K2-98,b,3,,10.136448,,,1,,,,,,
XO-6,b,3,450,3.7650007,0,,1,,,,,,
NGC 2682 YBP 401,b,3,49.06,4.087,0.15,330.17,1,,,,,,
TAP 26,b,3,149,10.79,,,1,,,,,,
K2-108,b,3,,4.733999,,,1,,,,,,
KELT-16,b,3,494,0.9689951,0,,1,,,,,,
HATS-22,b,3,399,4.7228124,0.079,56,1,,,,,,
HATS-23,b,3,212.3,2.1605156,0.114,,1,,,,,,
HATS-24,b,3,,1.3484978,0,90,1,,,,,,
NGC 2682 Sand 978,b,3,45.48,511.21,0.16,291.68,1,,,,,,
GJ 3138,b,3,1.43,1.22003,0.19,,3,,,,,,
GJ 3323,b,3,2.55,5.3636,0.23,,2,,,,,,
GJ 273,b,3,1.61,18.6498,0.1,,2,,,,,,
HD 24085,b,3,5.4,2.0455,0.22,8.92,1,,,,,,
HIP 71135,b,3,3.71,87.19,0.21,115.6,1,,,,,,
CI Tau,b,3,950,8.9891,0.25,31,1,,,,,,
HR 5183,b,3,38.25,27000,0.84,-20,1,,,,,,
GJ 685,b,3,3,24.16,0,,1,,,,,,
NGTS-4,b,3,13.7,1.3373508,0,0,1,,,,,,
HD 180617,b,3,2.85,105.9,0.16,269,1,,,,,,
LSPM J2116+0234,b,3,6.26,14.4399,0.183,,1,,,,,,
LHS 1140,b,3,4.85,24.736959,0.06,,2,,,,,,
HIP 67537,b,3,112.7,2556.5,0.59,119.6,1,,,,,,
KELT-12,b,3,82,5.031623,0,,1,,,,,,
KELT-11,b,3,,4.7361,0.0007,-1,1,,,,,,
TYC 4282-00605-1,b,3,495.2,101.54,0.28,288.94,1,,,,,,
K2-131,b,3,,0.36931,,,1,,,,,,
KELT-20,b,3,311.3,3.4741085,,,1,,,,,,
NGTS-1,b,3,166,2.647298,0.016,,1,,,,,,
TOI 172,b,3,517.6,9.47725,0.3806,57.1,1,,,,,,
